customer_id,final_score,churn_prob,purchase_prob,expected_revenue,selected
C00001,91419.98955,0.183360742,0.789293718,111946.6014,1
C00002,58380.46644,0.197961223,0.975129682,72790.07959,1
C00003,50682.063,0.024746611,0.991919652,51968.09727,1
C00004,47741.53701,0.016266591,0.994075516,48530.97047,1
C00005,47150.7573,0.017246409,0.907776616,47978.20914,1
C00006,44356.37308,0.052161119,0.990116866,46797.37663,1
C00007,43190.27171,0.050866382,0.953593411,45504.94356,1
C00008,43148.54317,0.004469842,0.994233686,43342.27631,1
C00009,42178.09484,0.000861138,0.999268258,42214.44731,1
C00010,37941.55898,0.159653946,0.969291176,45149.92221,1
C00011,37135.24942,0.026549276,0.973567031,38148.05258,1
C00012,37106.97126,0.038791154,0.991510481,38604.48371,1
C00013,36103.3673,0.172172474,0.913046662,43612.1851,1
C00014,35789.76492,0.060060101,0.986794482,38076.65251,1
C00015,34923.85154,0.000724374,0.995245163,34949.16781,1
C00016,34921.08313,0.002216091,0.998414444,34998.64331,1
C00017,34168.46173,1.76E-09,0.999996296,34168.46179,1
C00018,33945.29244,6.08E-06,0.999692265,33945.49867,1
C00019,33912.84548,0.097232697,0.957440556,37565.43392,1
C00020,33907.24748,0.035628908,0.986765882,35159.95839,1
C00021,33757.93877,9.14E-05,0.999514708,33761.02342,1
C00022,33509.47617,0.020588787,0.95774089,34213.89884,1
C00023,33282.44571,0.415135558,0.712433898,56906.25607,1
C00024,32951.12646,0.007067098,0.99342111,33185.65273,1
C00025,32783.80901,3.93E-05,0.999825822,32785.09668,1
C00026,32749.65856,0.003155657,0.998888553,32853.33241,1
C00027,32720.7581,0.108741041,0.97986891,36712.96404,1
C00028,32674.44664,0.002547075,0.999336365,32757.88344,1
C00029,32468.08299,0.110413507,0.987130865,36497.94958,1
C00030,31918.75301,0.003239661,0.979117381,32022.49504,1
C00031,31848.13094,3.93E-06,0.999908582,31848.25597,1
C00032,31628.38702,0.00597831,0.998288378,31818.60852,1
C00033,31218.86425,0.018848562,0.996422107,31818.5991,1
C00034,30880.55443,3.67E-05,0.99976742,30881.6892,1
C00035,30789.87887,0.000166034,0.999358708,30794.99189,1
C00036,30652.93527,0.0003212,0.99915713,30662.78416,1
C00037,30559.37259,0.000147082,0.999863953,30563.86799,1
C00038,30552.34723,0.005762343,0.99555674,30729.42069,1
C00039,30327.06487,0.000335603,0.999775694,30337.24614,1
C00040,30198.44067,0.001233746,0.992169914,30235.7439,1
C00041,29877.52931,5.97E-07,0.999990051,29877.54716,1
C00042,29583.42028,0.001533978,0.996974371,29628.87031,1
C00043,29551.17724,0.000133178,0.996370512,29555.11333,1
C00044,28957.313,0.120949906,0.799825473,32941.59594,1
C00045,28705.99723,0.005360856,0.996528404,28860.71536,1
C00046,28574.68693,0.000973445,0.998639849,28602.52991,1
C00047,28466.64897,9.57E-08,0.999988654,28466.65169,1
C00048,28447.42239,0.005101587,0.99067938,28593.29357,1
C00049,28267.11632,0.027257899,0.987580849,29059.20931,1
C00050,28169.03166,1.68E-05,0.999622017,28169.5043,1
C00051,28102.90687,0.112175266,0.910389707,31653.66518,1
C00052,28047.02982,5.99E-15,0.999999993,28047.02982,1
C00053,27993.5855,0.014440245,0.990759983,28403.74251,1
C00054,27988.82381,0.042086258,0.968373335,29218.52205,1
C00056,27916.54736,0.000319531,0.999222357,27925.4704,1
C00057,27904.49517,1.51E-08,0.999986619,27904.49559,1
C00058,27878.79966,0.001035885,0.994770125,27907.70883,1
C00059,27872.98454,0.020106969,0.993047108,28444.92578,1
C00060,27689.60299,0.001650151,0.997543628,27735.37053,1
C00061,27572.96914,0.00032014,0.996314293,27581.79918,1
C00062,27505.03623,0.000338481,0.999146966,27514.3493,1
C00063,27374.32601,0.088284654,0.866007364,30025.07979,1
C00064,27185.6351,3.41E-18,0.999999999,27185.6351,1
C00065,27110.63065,0.054771621,0.985087726,28681.56655,1
C00066,27094.37191,0.060447583,0.979716732,28837.53094,1
C00067,27029.06886,0.000190819,0.998301763,27034.2275,1
C00068,26984.47595,0.002947416,0.998035699,27064.24553,1
C00069,26980.69047,0.133347604,0.855253857,31132.07856,1
C00070,26955.77899,0.069056949,0.977048985,28955.34691,1
C00071,26863.37591,5.50E-07,0.9999959,26863.39069,1
C00072,26699.31292,0.026154538,0.974072957,27416.37557,1
C00073,26508.04126,5.57E-13,0.99999979,26508.04126,1
C00074,26452.35273,4.78E-05,0.999774684,26453.61718,1
C00075,26414.00087,0.021196129,0.992646909,26985.9996,1
C00076,26172.82042,0.001751799,0.998946316,26218.75041,1
C00077,26045.21602,1.58E-05,0.999868839,26045.62861,1
C00078,26029.19527,0.000114967,0.998740587,26032.18811,1
C00079,25896.44542,1.81E-05,0.999971705,25896.91334,1
C00080,25873.74931,0.026610839,0.995724935,26581.09453,1
C00081,25820.09111,0.000356548,0.997592882,25829.30051,1
C00082,25780.44252,1.53E-07,0.999980155,25780.44645,1
C00083,25686.91089,6.15E-07,0.999802156,25686.9267,1
C00085,25615.18878,0.004809739,0.998832662,25738.98658,1
C00086,25589.30542,0.000331337,0.997196923,25597.78692,1
C00087,25553.9277,1.47E-05,0.998346315,25554.30403,1
C00088,25439.81893,0.147999155,0.978741998,29858.91278,1
C00089,25400.38249,0.001367752,0.998144755,25435.1715,1
C00090,25378.56263,2.61E-06,0.99998106,25378.62888,1
C00091,25359.98236,2.21E-09,0.999975236,25359.98242,1
C00092,25349.00489,2.10E-05,0.999935687,25349.5381,1
C00093,25317.28369,1.07E-08,0.999977408,25317.28396,1
C00094,25264.40997,0.000827933,0.9987937,25285.34453,1
C00095,25254.74133,1.09E-06,0.999985332,25254.76875,1
C00096,25245.51377,0.000623042,0.999572236,25261.25259,1
C00097,25228.33647,7.16E-05,0.999924484,25230.1427,1
C00098,25196.79286,1.54E-05,0.999015276,25197.17995,1
C00099,25188.39727,0.005583295,0.98799836,25329.82112,1
C00100,25033.15784,0.000858112,0.999488362,25054.65753,1
C00101,24987.72246,1.51E-06,0.999922029,24987.7601,1
C00102,24963.79669,6.17E-06,0.999956435,24963.95067,1
