customer_id,signup_date,customer_segment,location,acquisition_channel,age,gender
C00001,12-04-2024,medium,Bhubaneswar,ads,25,male
C00002,11-03-2025,high,Hyderabad,referral,47,female
C00003,27-09-2024,low,Ahmedabad,organic,46,female
C00004,16-04-2024,medium,Bangalore,organic,38,male
C00005,12-03-2024,high,Hyderabad,referral,37,female
C00006,01-12-2025,high,Chennai,ads,29,male
C00007,21-01-2024,high,Bhubaneswar,ads,27,female
C00008,06-09-2025,high,Kolkata,ads,31,other
C00009,01-05-2024,medium,Kolkata,ads,19,female
C00010,11-04-2025,low,Jaipur,ads,37,female
C00011,02-08-2024,high,Jaipur,referral,35,female
C00012,26-11-2024,high,Chennai,ads,25,female
C00013,03-04-2025,medium,Hyderabad,organic,50,female
C00014,28-03-2024,low,Kolkata,ads,41,male
C00015,07-01-2025,medium,Mumbai,ads,41,male
C00016,09-04-2024,medium,Mumbai,ads,30,female
C00017,25-10-2025,medium,Bangalore,ads,34,male
C00018,10-05-2024,medium,Mumbai,organic,41,female
C00019,23-10-2025,high,Delhi,ads,36,female
C00020,04-11-2024,low,Bhubaneswar,ads,51,male
C00021,09-12-2024,medium,Chennai,ads,32,male
C00022,06-05-2025,medium,Jaipur,ads,29,female
C00023,17-02-2025,low,Delhi,organic,41,female
C00024,20-01-2025,medium,Ahmedabad,ads,22,male
C00025,10-07-2024,medium,Bhubaneswar,ads,44,female
C00026,03-10-2024,medium,Kolkata,ads,21,female
C00027,09-06-2024,high,Bhubaneswar,ads,41,female
C00028,04-04-2025,high,Jaipur,ads,28,female
C00029,09-11-2024,medium,Pune,organic,39,male
C00030,22-01-2024,low,Pune,ads,44,female
C00031,09-09-2024,low,Delhi,organic,36,male
C00032,14-07-2025,medium,Hyderabad,ads,23,male
C00033,19-04-2025,high,Kolkata,organic,26,male
C00034,28-02-2024,high,Jaipur,organic,27,male
C00035,25-05-2025,low,Jaipur,ads,18,female
C00036,12-11-2025,medium,Jaipur,ads,46,male
C00037,20-04-2025,medium,Mumbai,ads,36,female
C00038,30-11-2025,low,Jaipur,ads,23,female
C00039,08-07-2024,low,Pune,ads,49,female
C00040,17-11-2025,low,Ahmedabad,ads,27,female
C00041,16-07-2025,high,Chennai,ads,37,other
C00042,20-07-2025,low,Bhubaneswar,ads,26,male
C00043,31-08-2024,low,Chennai,ads,18,female
C00044,19-05-2025,medium,Pune,ads,21,male
C00045,10-05-2024,medium,Pune,referral,30,female
C00046,29-04-2025,medium,Ahmedabad,organic,43,male
C00047,08-10-2025,low,Bangalore,referral,38,female
C00048,21-01-2024,high,Delhi,organic,36,male
C00049,15-06-2024,medium,Mumbai,organic,18,male
C00050,30-09-2024,high,Hyderabad,organic,47,female
C00051,22-01-2025,low,Jaipur,ads,37,female
C00052,23-08-2025,high,Jaipur,organic,33,male
C00053,11-11-2024,medium,Ahmedabad,referral,46,female
C00054,14-01-2024,medium,Bangalore,referral,47,male
C00055,29-08-2024,low,Jaipur,ads,46,female
C00056,11-12-2024,medium,Mumbai,ads,32,female
C00057,18-07-2025,high,Delhi,referral,24,male
C00058,05-12-2024,low,Mumbai,referral,44,male
C00059,01-04-2024,medium,Bangalore,ads,21,male
C00060,01-01-2025,low,Pune,ads,54,male
C00061,30-03-2025,high,Mumbai,ads,35,female
C00062,03-03-2025,medium,Chennai,ads,24,female
C00063,23-05-2025,medium,Mumbai,organic,22,other
C00064,04-02-2024,high,Pune,ads,22,male
C00065,24-07-2024,medium,Jaipur,organic,36,female
C00066,21-03-2024,medium,Bhubaneswar,organic,34,male
C00067,15-07-2025,low,Bhubaneswar,ads,22,female
C00068,22-01-2025,medium,Bhubaneswar,referral,31,male
C00069,02-01-2024,medium,Jaipur,referral,21,other
C00070,24-01-2025,medium,Ahmedabad,ads,40,male
C00071,19-07-2025,low,Delhi,ads,34,female
C00072,15-04-2024,medium,Delhi,organic,31,male
C00073,21-04-2025,medium,Jaipur,ads,22,female
C00074,03-12-2025,medium,Mumbai,organic,31,female
C00075,05-02-2025,medium,Hyderabad,organic,30,female
C00076,30-12-2025,medium,Delhi,ads,38,female
C00077,09-07-2025,low,Chennai,organic,36,male
C00078,10-06-2024,medium,Chennai,organic,42,male
C00079,20-07-2024,low,Kolkata,referral,30,female
C00080,26-09-2024,high,Chennai,organic,18,male
C00081,27-09-2024,medium,Delhi,organic,44,female
C00082,31-03-2025,low,Hyderabad,organic,25,female
C00083,06-04-2025,high,Pune,organic,23,male
C00084,27-12-2025,low,Bhubaneswar,organic,34,female
C00085,08-09-2024,medium,Mumbai,ads,38,female
C00086,02-12-2025,low,Pune,organic,29,female
C00087,22-10-2024,medium,Hyderabad,referral,29,female
C00088,25-12-2025,medium,Ahmedabad,organic,31,male
C00089,20-12-2025,high,Bhubaneswar,ads,49,female
C00090,03-12-2024,medium,Kolkata,ads,34,male
C00091,22-02-2024,high,Ahmedabad,ads,25,female
C00092,04-08-2024,high,Delhi,ads,25,male
C00093,06-07-2024,high,Hyderabad,referral,32,male
C00094,14-01-2025,medium,Bhubaneswar,organic,37,female
C00095,07-05-2025,low,Kolkata,ads,39,male
C00096,10-02-2024,high,Mumbai,referral,36,other
C00097,05-06-2024,high,Mumbai,organic,26,male
C00098,15-01-2024,medium,Jaipur,organic,30,male
C00099,05-03-2024,high,Delhi,organic,42,male
C00100,04-06-2025,high,Chennai,ads,23,male
C00101,09-12-2024,high,Hyderabad,organic,30,female
C00102,08-05-2024,low,Kolkata,organic,40,female
C00103,09-10-2025,low,Kolkata,ads,43,male
C00104,16-04-2025,medium,Chennai,ads,33,male
C00105,03-03-2024,medium,Chennai,organic,30,male
C00106,18-05-2024,medium,Ahmedabad,organic,21,male
C00107,13-05-2025,medium,Bhubaneswar,ads,40,female
C00108,15-08-2025,medium,Ahmedabad,referral,48,female
C00109,26-01-2025,medium,Bangalore,ads,60,female
C00110,05-11-2025,medium,Bangalore,ads,38,other
C00111,22-02-2025,high,Delhi,organic,34,female
C00112,15-10-2024,medium,Jaipur,organic,25,female
C00113,13-01-2025,low,Hyderabad,ads,18,male
