product_id,category,price,cost,launch_date
P0001,clothing,4758,3463.85,12-12-2025
P0002,beauty,1370,974.63,20-11-2024
P0003,electronics,49187,38650.16,01-11-2025
P0004,electronics,16775,10131.04,03-03-2025
P0005,home,8411,6297.29,20-05-2024
P0006,beauty,2561,1835.33,13-01-2024
P0007,electronics,16826,11229.94,14-03-2024
P0008,clothing,1087,863.94,02-02-2025
P0009,home,2189,1595.56,13-05-2024
P0010,beauty,260,180.41,06-01-2025
P0011,home,7915,6003.27,13-02-2024
P0012,electronics,21340,14781.73,07-09-2024
P0013,home,10349,7510.77,24-06-2024
P0014,sports,5630,3416.15,03-09-2024
P0015,sports,9498,6597.37,30-07-2024
P0016,home,14117,9356.82,11-02-2024
P0017,sports,9441,6212.42,15-10-2023
P0018,electronics,17921,14054.68,17-05-2024
P0019,clothing,4101,2700,02-08-2025
P0020,beauty,1264,897.05,08-05-2025
P0021,electronics,22916,15478.26,18-08-2025
P0022,sports,2633,1862.81,22-12-2024
P0023,clothing,2907,2287.17,30-04-2025
P0024,clothing,1856,1406.75,08-02-2024
P0025,electronics,23637,18358,14-09-2024
P0026,clothing,1435,1044,08-08-2025
P0027,home,7517,4683.23,09-03-2026
P0028,clothing,2009,1234.55,30-06-2025
P0029,electronics,38761,30645.62,20-12-2023
P0030,beauty,1840,1216.97,15-02-2025
P0031,electronics,28113,18844.59,14-09-2023
P0032,beauty,1956,1416.13,29-01-2025
P0033,clothing,1275,969.84,20-03-2026
P0034,clothing,3950,2825.67,02-10-2024
P0035,clothing,2894,1870.41,17-09-2023
P0036,home,2526,1678.81,23-03-2024
P0037,beauty,2576,1966.71,15-10-2024
P0038,sports,3819,2381.7,05-03-2025
P0039,clothing,4937,3146.43,20-02-2025
P0040,home,7539,5263.47,18-10-2025
P0041,clothing,3073,2000.81,29-09-2025
P0042,sports,1953,1545.49,28-01-2026
P0043,beauty,1946,1256.97,10-12-2025
P0044,clothing,1799,1313.42,27-08-2025
P0045,clothing,3767,2976.28,25-04-2025
P0046,electronics,37838,24884.77,03-12-2024
P0047,beauty,1018,646.1,16-03-2025
P0048,beauty,2191,1615.32,19-01-2024
P0049,sports,2611,1947.98,24-10-2025
P0050,home,14239,9771.85,06-06-2024
P0051,home,1000,676.09,11-08-2023
P0052,clothing,2681,2017.99,18-05-2024
P0053,home,11969,8139.89,04-04-2025
P0054,clothing,1408,1114.12,21-11-2023
P0055,beauty,1930,1375.22,08-03-2024
P0056,electronics,33217,25227.08,07-01-2026
P0057,electronics,19313,14728.09,13-08-2025
P0058,beauty,450,271.26,23-04-2025
P0059,sports,2027,1424.76,03-09-2024
P0060,home,11069,8729.57,05-11-2025
P0061,beauty,2770,2092.43,24-03-2026
P0062,beauty,2148,1666.74,15-01-2024
P0063,clothing,3469,2115.78,04-02-2024
P0064,electronics,26494,19782.38,09-12-2025
P0065,sports,4389,3419.93,26-07-2025
P0066,sports,2073,1544.51,09-04-2025
P0067,clothing,2745,1951.06,26-12-2024
P0068,electronics,40708,28016.44,05-03-2025
P0069,sports,5639,3733.94,26-11-2025
P0070,beauty,2480,1626.46,27-07-2024
P0071,electronics,30313,19066.81,19-03-2026
P0072,electronics,42315,28895.23,05-09-2024
P0073,sports,4368,2965.86,28-05-2025
P0074,electronics,38139,24492.82,03-12-2023
P0075,clothing,3023,1879.74,15-10-2023
P0076,home,6650,4583.13,12-08-2024
P0077,electronics,17868,12726.29,17-04-2024
P0078,electronics,30202,22686.64,20-07-2025
P0079,clothing,4936,3101.81,14-11-2023
P0080,clothing,2146,1635.83,22-09-2024
P0081,beauty,2835,1809.61,09-08-2024
P0082,home,6509,4062.84,15-07-2025
P0083,clothing,3718,2606.37,08-08-2023
P0084,clothing,4650,3160.51,20-11-2025
P0085,electronics,9976,7855.21,15-02-2025
P0086,electronics,41602,27461.49,17-11-2025
P0087,beauty,1522,948.38,27-07-2025
P0088,electronics,35723,26328.63,12-06-2024
P0089,clothing,1912,1215.24,30-10-2024
P0090,beauty,1754,1055.16,09-04-2025
P0091,clothing,4994,3514.97,06-12-2024
P0092,clothing,803,626.75,26-07-2024
P0093,sports,9095,7077.33,07-08-2025
P0094,sports,8333,6236.98,30-12-2024
P0095,sports,5462,3685.28,09-11-2025
P0096,home,3723,2391.41,07-01-2026
P0097,sports,6138,4817.89,02-06-2025
P0098,beauty,924,669.53,15-07-2023
P0099,clothing,1702,1171.28,04-02-2025
P0100,home,2523,1626.75,19-11-2023
P0101,electronics,25363,18710.14,12-11-2023
P0102,home,7244,4885.22,06-08-2024
P0103,clothing,2740,1741.76,11-03-2024
P0104,clothing,3266,2321.6,30-03-2025
P0105,electronics,49247,35099.9,04-07-2024
P0106,clothing,1474,1013.75,28-08-2024
P0107,clothing,4638,3494.01,31-08-2024
P0108,home,11701,8847.74,27-08-2025
P0109,clothing,1820,1101.31,05-01-2026
P0110,beauty,2108,1524.42,28-07-2025
P0111,home,8250,5292.91,20-12-2025
P0112,home,9448,6055.97,24-03-2026
P0113,clothing,1249,752.74,13-12-2023
P0114,beauty,856,536.72,07-10-2023
P0115,home,7554,4806.68,13-12-2023
P0116,sports,8497,5570.09,16-10-2025
P0117,electronics,22643,14170.53,07-09-2025
P0118,clothing,3405,2510.79,29-06-2024
P0119,electronics,45211,34210.66,18-02-2024
P0120,electronics,8402,5988.38,28-10-2023
